Zabbix version,OS Distribution,OS Version,ZABBIX COMPONENT,ZABBIX COMPONENT Link
7.0,Alma Linux,9,Agent,https://repo.zabbix.com/zabbix/7.0/alma/9/x86_64/zabbix-release-latest-7.0.el9.noarch.rpm
7.0,Alma Linux,8,Agent,https://repo.zabbix.com/zabbix/7.0/alma/8/x86_64/zabbix-release-latest-7.0.el8.noarch.rpm
7.0,Amazon Linux,2023,Agent,https://repo.zabbix.com/zabbix/7.0/amazonlinux/2023/x86_64/zabbix-release-latest-7.0.amzn2023.noarch.rpm
7.0,CentOS,9 Stream,Agent,https://repo.zabbix.com/zabbix/7.0/centos/9/x86_64/zabbix-release-latest-7.0.el9.noarch.rpm
7.0,CentOS,8 Stream,Agent,https://repo.zabbix.com/zabbix/7.0/centos/8/x86_64/zabbix-release-latest-7.0.el8.noarch.rpm
7.0,CentOS,7,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/7/x86_64/zabbix-release-latest-7.0.el7.noarch.rpm
7.0,CentOS,6,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/6/x86_64/zabbix-release-latest-7.0.el6.noarch.rpm
7.0,Debian,12 (Bookworm),Agent,https://repo.zabbix.com/zabbix/7.0/debian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian12_all.deb
7.0,Debian,11 (Bullseye),Agent,https://repo.zabbix.com/zabbix/7.0/debian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian11_all.deb
7.0,Debian,10 (Buster),Agent,https://repo.zabbix.com/zabbix/7.0/debian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian10_all.deb
7.0,Debian (arm64),12 (Bookworm),Agent,https://repo.zabbix.com/zabbix/7.0/debian-arm64/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian12_all.deb
7.0,OpenSUSE Leap,15,Agent,https://repo.zabbix.com/zabbix/7.0/sles/15/x86_64/zabbix-release-latest-7.0.sles15.noarch.rpm
7.0,Oracle Linux,9,Agent,https://repo.zabbix.com/zabbix/7.0/oracle/9/x86_64/zabbix-release-latest-7.0.el9.noarch.rpm
7.0,Oracle Linux,8,Agent,https://repo.zabbix.com/zabbix/7.0/oracle/8/x86_64/zabbix-release-latest-7.0.el8.noarch.rpm
7.0,Oracle Linux,7,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/7/x86_64/zabbix-release-latest-7.0.el7.noarch.rpm
7.0,Oracle Linux,6,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/6/x86_64/zabbix-release-latest-7.0.el6.noarch.rpm
7.0,Raspberry Pi OS,12 (Bookworm),Agent,https://repo.zabbix.com/zabbix/7.0/raspbian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian12_all.deb
7.0,Raspberry Pi OS,11 (Bullseye),Agent,https://repo.zabbix.com/zabbix/7.0/raspbian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian11_all.deb
7.0,Raspberry Pi OS,10 (Buster),Agent,https://repo.zabbix.com/zabbix/7.0/raspbian/pool/main/z/zabbix-release/zabbix-release_latest_7.0+debian10_all.deb
7.0,Red Hat Enterprise Linux,9,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/9/x86_64/zabbix-release-latest-7.0.el9.noarch.rpm
7.0,Red Hat Enterprise Linux,8,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/8/x86_64/zabbix-release-latest-7.0.el8.noarch.rpm
7.0,Red Hat Enterprise Linux,7,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/7/x86_64/zabbix-release-latest-7.0.el7.noarch.rpm
7.0,Red Hat Enterprise Linux,6,Agent,https://repo.zabbix.com/zabbix/7.0/rhel/6/x86_64/zabbix-release-latest-7.0.el6.noarch.rpm
7.0,Rocky Linux,9,Agent,https://repo.zabbix.com/zabbix/7.0/rocky/9/x86_64/zabbix-release-latest-7.0.el9.noarch.rpm
7.0,Rocky Linux,8,Agent,https://repo.zabbix.com/zabbix/7.0/rocky/8/x86_64/zabbix-release-latest-7.0.el8.noarch.rpm
7.0,SUSE Linux Enterprise Server,15 (SP4+),Agent,https://repo.zabbix.com/zabbix/7.0/sles/15/x86_64/zabbix-release-latest-7.0.sles15.noarch.rpm
7.0,SUSE Linux Enterprise Server,12 (SP4+),Agent,https://repo.zabbix.com/zabbix/7.0/sles/12/x86_64/zabbix-release-latest-7.0.sles12.noarch.rpm
7.0,Ubuntu,24.04 (Noble),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu24.04_all.deb
7.0,Ubuntu,22.04 (Jammy),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu22.04_all.deb
7.0,Ubuntu,20.04 (Focal),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu20.04_all.deb
7.0,Ubuntu,18.04 (Bionic),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu18.04_all.deb
7.0,Ubuntu,16.04 (Xenial),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu16.04_all.deb
7.0,Ubuntu (arm64),24.04 (Noble),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu-arm64/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu24.04_all.deb
7.0,Ubuntu (arm64),22.04 (Jammy),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu-arm64/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu22.04_all.deb
7.0,Ubuntu (arm64),20.04 (Focal),Agent,https://repo.zabbix.com/zabbix/7.0/ubuntu-arm64/pool/main/z/zabbix-release/zabbix-release_latest_7.0+ubuntu20.04_all.deb



